Date,Price,Open,High,Low,Vol.,Change %
"Aug 26, 2013",903.47,916.89,922.14,902.92,1.46B,-0.61%
"Aug 27, 2013",883.90,897.88,898.94,880.72,1.85B,-2.17%
"Aug 28, 2013",873.62,869.63,888.00,861.97,2.38B,-1.16%
"Aug 29, 2013",885.07,878.46,886.76,870.93,1.38B,1.31%
"Aug 30, 2013",882.98,891.07,891.51,876.91,1.25B,-0.24%
"Sep 02, 2013",903.50,886.37,903.50,883.75,1.44B,2.32%
"Sep 03, 2013",898.13,902.41,910.35,894.81,1.37B,-0.59%
"Sep 04, 2013",889.33,894.57,900.52,887.77,968.68M,-0.98%
"Sep 05, 2013",897.31,893.49,906.88,891.07,1.04B,0.90%
"Sep 06, 2013",913.56,898.14,914.73,895.61,947.78M,1.81%
"Sep 09, 2013",951.35,927.07,951.35,926.11,1.46B,4.14%
"Sep 10, 2013",957.77,958.49,972.79,950.23,3.17B,0.67%
"Sep 11, 2013",970.21,958.41,970.42,946.86,1.69B,1.30%
"Sep 12, 2013",956.70,971.36,977.18,956.70,1.38B,-1.39%
"Sep 13, 2013",957.25,949.98,968.34,948.80,1.67B,0.06%
"Sep 16, 2013",989.37,979.25,989.53,978.52,2.33B,3.36%
"Sep 17, 2013",988.56,988.25,992.52,982.14,1.60B,-0.08%
"Sep 18, 2013",982.43,987.38,993.04,977.35,1.54B,-0.62%
"Sep 19, 2013",1019.09,1017.26,1023.56,1012.11,2.33B,3.73%
"Sep 20, 2013",1017.30,1014.36,1018.72,1008.02,1.77B,-0.18%
"Sep 23, 2013",983.20,1006.56,1007.03,979.86,1.57B,-3.35%
"Sep 24, 2013",968.70,979.03,986.31,967.53,1.29B,-1.47%
"Sep 25, 2013",982.96,971.00,982.96,964.59,1.09B,1.47%
"Sep 26, 2013",973.13,973.21,985.46,972.51,1.00B,-1.00%
"Sep 27, 2013",967.51,979.30,981.39,964.39,857.70M,-0.58%
"Sep 30, 2013",940.88,953.89,954.31,939.86,881.94M,-2.75%
"Oct 01, 2013",959.71,945.59,962.34,939.43,1.06B,2.00%
"Oct 02, 2013",959.29,960.43,964.70,953.55,709.23M,-0.04%
"Oct 03, 2013",974.66,966.44,977.89,965.92,1.29B,1.60%
